"issue.date","song","artist","year"
"February 25","""Kind of a Drag""","The Buckinghams",1967
"March 4","""Ruby Tuesday""","The Rolling Stones",1967
"March 11","""Love Is Here and Now You're Gone""","The Supremes",1967
"March 18","""Penny Lane""","The Beatles",1967
"March 25","""Happy Together""","The Turtles",1967
"April 1","""Happy Together""","The Turtles",1967
"April 8","""Happy Together""","The Turtles",1967
"April 15","""Somethin' Stupid""","Nancy Sinatra and Frank Sinatra",1967
"April 22","""Somethin' Stupid""","Nancy Sinatra and Frank Sinatra",1967
"April 29","""Somethin' Stupid""","Nancy Sinatra and Frank Sinatra",1967
"May 6","""Somethin' Stupid""","Nancy Sinatra and Frank Sinatra",1967
"May 13","""The Happening""","The Supremes",1967
"May 20","""Groovin'""","The Young Rascals",1967
"May 27","""Groovin'""","The Young Rascals",1967
"June 3","""Respect""","Aretha Franklin",1967
"June 10","""Respect""","Aretha Franklin",1967
"June 17","""Groovin'""","The Young Rascals",1967
"June 24","""Groovin'""","The Young Rascals",1967
"July 1","""Windy""","The Association",1967
"July 8","""Windy""","The Association",1967
"July 15","""Windy""","The Association",1967
"July 22","""Windy""","The Association",1967
"July 29","""Light My Fire""","The Doors",1967
"August 5","""Light My Fire""","The Doors",1967
"August 12","""Light My Fire""","The Doors",1967
"August 19","""All You Need Is Love""","The Beatles",1967
"August 26","""Ode to Billie Joe""","Bobbie Gentry",1967
"September 2","""Ode to Billie Joe""","Bobbie Gentry",1967
"September 9","""Ode to Billie Joe""","Bobbie Gentry",1967
"September 16","""Ode to Billie Joe""","Bobbie Gentry",1967
"September 23","""The Letter""","Box Tops",1967
"September 30","""The Letter""","Box Tops",1967
"October 7","""The Letter""","Box Tops",1967
"October 14","""The Letter""","Box Tops",1967
"October 21","""To Sir With Love""","Lulu",1967
"October 28","""To Sir With Love""","Lulu",1967
"November 4","""To Sir With Love""","Lulu",1967
"November 11","""To Sir With Love""","Lulu",1967
"November 18","""To Sir With Love""","Lulu",1967
"November 25","""Incense and Peppermints""","Strawberry Alarm Clock",1967
"December 2","""Daydream Believer""","The Monkees",1967
"December 9","""Daydream Believer""","The Monkees",1967
"December 16","""Daydream Believer""","The Monkees",1967
"December 23","""Daydream Believer""","The Monkees",1967
"December 30","""Hello, Goodbye""","The Beatles",1967
"January 6","""Hello, Goodbye""","The Beatles",1968
"January 13","""Hello, Goodbye""","The Beatles",1968
"January 20","""Judy in Disguise (With Glasses)""","John Fred and His Playboy Band",1968
"January 27","""Judy in Disguise (With Glasses)""","John Fred and His Playboy Band",1968
"February 3","""Green Tambourine""","The Lemon Pipers",1968
"February 10","""Love is Blue""","Paul Mauriat",1968
"February 17","""Love is Blue""","Paul Mauriat",1968
"February 24","""Love is Blue""","Paul Mauriat",1968
"March 2","""Love is Blue""","Paul Mauriat",1968
"March 9","""Love is Blue""","Paul Mauriat",1968
"March 16","""(Sittin' On) The Dock of the Bay""","Otis Redding",1968
"March 23","""(Sittin' On) The Dock of the Bay""","Otis Redding",1968
"March 30","""(Sittin' On) The Dock of the Bay""","Otis Redding",1968
"April 6","""(Sittin' On) The Dock of the Bay""","Otis Redding",1968
"April 13","""Honey""","Bobby Goldsboro",1968
"April 20","""Honey""","Bobby Goldsboro",1968
"April 27","""Honey""","Bobby Goldsboro",1968
"May 4","""Honey""","Bobby Goldsboro",1968
"May 11","""Honey""","Bobby Goldsboro",1968
"May 18","""Tighten Up""","Archie Bell & the Drells",1968
"May 25","""Tighten Up""","Archie Bell & the Drells",1968
"June 1","""Mrs. Robinson""","Simon & Garfunkel",1968
"June 8","""Mrs. Robinson""","Simon & Garfunkel",1968
"June 15","""Mrs. Robinson""","Simon & Garfunkel",1968
"June 22","""This Guy's in Love with You""","Herb Alpert",1968
"June 29","""This Guy's in Love with You""","Herb Alpert",1968
"July 6","""This Guy's in Love with You""","Herb Alpert",1968
"July 13","""This Guy's in Love with You""","Herb Alpert",1968
"July 20","""Grazing in the Grass""","Hugh Masekela",1968
"July 27","""Grazing in the Grass""","Hugh Masekela",1968
"August 3","""Hello, I Love You""","The Doors",1968
"August 10","""Hello, I Love You""","The Doors",1968
"August 17","""People Got to Be Free""","The Rascals",1968
"August 24","""People Got to Be Free""","The Rascals",1968
"August 31","""People Got to Be Free""","The Rascals",1968
"September 7","""People Got to Be Free""","The Rascals",1968
