"issue.date","song","artist","year"
"June 1","""Can't Hold Us""","Macklemore & Ryan Lewis featuring Ray Dalton",2013
"June 8","""Can't Hold Us""","Macklemore & Ryan Lewis featuring Ray Dalton",2013
"June 15","""Can't Hold Us""","Macklemore & Ryan Lewis featuring Ray Dalton",2013
"June 22","""Blurred Lines""","Robin Thicke featuring T.I. and Pharrell",2013
"June 29","""Blurred Lines""","Robin Thicke featuring T.I. and Pharrell",2013
"July 6","""Blurred Lines""","Robin Thicke featuring T.I. and Pharrell",2013
"July 13","""Blurred Lines""","Robin Thicke featuring T.I. and Pharrell",2013
"July 20","""Blurred Lines""","Robin Thicke featuring T.I. and Pharrell",2013
"July 27","""Blurred Lines""","Robin Thicke featuring T.I. and Pharrell",2013
"August 3","""Blurred Lines""","Robin Thicke featuring T.I. and Pharrell",2013
"August 10","""Blurred Lines""","Robin Thicke featuring T.I. and Pharrell",2013
"August 17","""Blurred Lines""","Robin Thicke featuring T.I. and Pharrell",2013
"August 24","""Blurred Lines""","Robin Thicke featuring T.I. and Pharrell",2013
"August 31","""Blurred Lines""","Robin Thicke featuring T.I. and Pharrell",2013
"September 7","""Blurred Lines""","Robin Thicke featuring T.I. and Pharrell",2013
"September 14","""Roar""","Katy Perry",2013
"September 21","""Roar""","Katy Perry",2013
"September 28","""Wrecking Ball""","Miley Cyrus",2013
"October 5","""Wrecking Ball""","Miley Cyrus",2013
"October 12","""Royals""","Lorde",2013
"October 19","""Royals""","Lorde",2013
"October 26","""Royals""","Lorde",2013
"November 2","""Royals""","Lorde",2013
"November 9","""Royals""","Lorde",2013
"November 16","""Royals""","Lorde",2013
"November 23","""Royals""","Lorde",2013
"November 30","""Royals""","Lorde",2013
"December 7","""Royals""","Lorde",2013
"December 14","""Wrecking Ball""","Miley Cyrus",2013
"December 21","""The Monster""","Eminem featuring Rihanna",2013
"December 28","""The Monster""","Eminem featuring Rihanna",2013
"January 4","""The Monster""","Eminem featuring Rihanna",2014
"January 11","""The Monster""","Eminem featuring Rihanna",2014
"January 18","""Timber""","Pitbull featuring Kesha",2014
"January 25","""Timber""","Pitbull featuring Kesha",2014
"February 1","""Timber""","Pitbull featuring Kesha",2014
"February 8","""Dark Horse""","Katy Perry featuring Juicy J",2014
"February 15","""Dark Horse""","Katy Perry featuring Juicy J",2014
"February 22","""Dark Horse""","Katy Perry featuring Juicy J",2014
"March 1","""Dark Horse""","Katy Perry featuring Juicy J",2014
"March 8","""Happy"" [1]","Pharrell Williams",2014
"March 15","""Happy"" [1]","Pharrell Williams",2014
"March 22","""Happy"" [1]","Pharrell Williams",2014
"March 29","""Happy"" [1]","Pharrell Williams",2014
"April 5","""Happy"" [1]","Pharrell Williams",2014
"April 12","""Happy"" [1]","Pharrell Williams",2014
"April 19","""Happy"" [1]","Pharrell Williams",2014
"April 26","""Happy"" [1]","Pharrell Williams",2014
"May 3","""Happy"" [1]","Pharrell Williams",2014
"May 10","""Happy"" [1]","Pharrell Williams",2014
"May 17","""All of Me""","John Legend",2014
"May 24","""All of Me""","John Legend",2014
"May 31","""All of Me""","John Legend",2014
"June 7","""Fancy""","Iggy Azalea featuring Charli XCX",2014
"June 14","""Fancy""","Iggy Azalea featuring Charli XCX",2014
"June 21","""Fancy""","Iggy Azalea featuring Charli XCX",2014
"June 28","""Fancy""","Iggy Azalea featuring Charli XCX",2014
"July 5","""Fancy""","Iggy Azalea featuring Charli XCX",2014
"July 12","""Fancy""","Iggy Azalea featuring Charli XCX",2014
"July 19","""Fancy""","Iggy Azalea featuring Charli XCX",2014
"July 26","""Rude""","Magic!",2014
"August 2","""Rude""","Magic!",2014
"August 9","""Rude""","Magic!",2014
"August 16","""Rude""","Magic!",2014
"August 23","""Rude""","Magic!",2014
"August 30","""Rude""","Magic!",2014
"September 6","""Shake It Off""","Taylor Swift",2014
"September 13","""Shake It Off""","Taylor Swift",2014
"September 20","""All About That Bass""","Meghan Trainor",2014
"September 27","""All About That Bass""","Meghan Trainor",2014
"October 4","""All About That Bass""","Meghan Trainor",2014
"October 11","""All About That Bass""","Meghan Trainor",2014
"October 18","""All About That Bass""","Meghan Trainor",2014
"October 25","""All About That Bass""","Meghan Trainor",2014
"November 1","""All About That Bass""","Meghan Trainor",2014
"November 8","""All About That Bass""","Meghan Trainor",2014
"November 15","""Shake It Off""","Taylor Swift",2014
"November 22","""Shake It Off""","Taylor Swift",2014
"November 29","""Blank Space""","Taylor Swift",2014
"December 6","""Blank Space""","Taylor Swift",2014
"December 13","""Blank Space""","Taylor Swift",2014
"December 20","""Blank Space""","Taylor Swift",2014
"December 27","""Blank Space""","Taylor Swift",2014
"January 3","""Blank Space""","Taylor Swift",2015
"January 10","""Blank Space""","Taylor Swift",2015
"January 17","""Uptown Funk""","Mark Ronson featuring Bruno Mars",2015
"January 24","""Uptown Funk""","Mark Ronson featuring Bruno Mars",2015
"January 31","""Uptown Funk""","Mark Ronson featuring Bruno Mars",2015
"February 7","""Uptown Funk""","Mark Ronson featuring Bruno Mars",2015
"February 14","""Uptown Funk""","Mark Ronson featuring Bruno Mars",2015
"February 21","""Uptown Funk""","Mark Ronson featuring Bruno Mars",2015
"February 28","""Uptown Funk""","Mark Ronson featuring Bruno Mars",2015
"March 7","""Uptown Funk""","Mark Ronson featuring Bruno Mars",2015
"March 14","""Uptown Funk""","Mark Ronson featuring Bruno Mars",2015
"March 21","""Uptown Funk""","Mark Ronson featuring Bruno Mars",2015
"March 28","""Uptown Funk""","Mark Ronson featuring Bruno Mars",2015
"April 4","""Uptown Funk""","Mark Ronson featuring Bruno Mars",2015
"April 11","""Uptown Funk""","Mark Ronson featuring Bruno Mars",2015
"April 18","""Uptown Funk""","Mark Ronson featuring Bruno Mars",2015
"April 25","""See You Again""","Wiz Khalifa featuring Charlie Puth",2015
"May 2","""See You Again""","Wiz Khalifa featuring Charlie Puth",2015
"May 9","""See You Again""","Wiz Khalifa featuring Charlie Puth",2015
"May 16","""See You Again""","Wiz Khalifa featuring Charlie Puth",2015
"May 23","""See You Again""","Wiz Khalifa featuring Charlie Puth",2015
"May 30","""See You Again""","Wiz Khalifa featuring Charlie Puth",2015
"June 6","""Bad Blood""","Taylor Swift featuring Kendrick Lamar",2015
"June 13","""See You Again""","Wiz Khalifa featuring Charlie Puth",2015
"June 20","""See You Again""","Wiz Khalifa featuring Charlie Puth",2015
"June 27","""See You Again""","Wiz Khalifa featuring Charlie Puth",2015
"July 4","""See You Again""","Wiz Khalifa featuring Charlie Puth",2015
"July 11","""See You Again""","Wiz Khalifa featuring Charlie Puth",2015
"July 18","""See You Again""","Wiz Khalifa featuring Charlie Puth",2015
"July 25","""Cheerleader""","Omi",2015
"August 1","""Cheerleader""","Omi",2015
"August 8","""Cheerleader""","Omi",2015
"August 15","""Cheerleader""","Omi",2015
"August 22","""Can't Feel My Face""","The Weeknd",2015
"August 29","""Cheerleader""","Omi",2015
"September 5","""Cheerleader""","Omi",2015
"September 12","""Can't Feel My Face""","The Weeknd",2015
"September 19","""What Do You Mean?""","Justin Bieber",2015
"September 26","""Can't Feel My Face""","The Weeknd",2015
"October 3","""The Hills""","The Weeknd",2015
"October 10","""The Hills""","The Weeknd",2015
"October 17","""The Hills""","The Weeknd",2015
"October 24","""The Hills""","The Weeknd",2015
"October 31","""The Hills""","The Weeknd",2015
"November 7","""The Hills""","The Weeknd",2015
"November 14","""Hello""","Adele",2015
"November 21","""Hello""","Adele",2015
"November 28","""Hello""","Adele",2015
"December 5","""Hello""","Adele",2015
"December 12","""Hello""","Adele",2015
"December 19","""Hello""","Adele",2015
"December 26","""Hello""","Adele",2015
"January 2","""Hello""","Adele",2016
"January 9","""Hello""","Adele",2016
"January 16","""Hello""","Adele",2016
"January 23","""Sorry""","Justin Bieber",2016
"January 30","""Sorry""","Justin Bieber",2016
"February 6","""Sorry""","Justin Bieber",2016
"February 13","""Love Yourself""","Justin Bieber",2016
"February 20","""Pillowtalk""","Zayn",2016
"February 27","""Love Yourself""","Justin Bieber",2016
"March 5","""Work""","Rihanna featuring Drake",2016
"March 12","""Work""","Rihanna featuring Drake",2016
"March 19","""Work""","Rihanna featuring Drake",2016
"March 26","""Work""","Rihanna featuring Drake",2016
"April 2","""Work""","Rihanna featuring Drake",2016
"April 9","""Work""","Rihanna featuring Drake",2016
"April 16","""Work""","Rihanna featuring Drake",2016
"April 23","""Work""","Rihanna featuring Drake",2016
"April 30","""Work""","Rihanna featuring Drake",2016
"May 7","""Panda""","Desiigner",2016
"May 14","""Panda""","Desiigner",2016
"May 21","""One Dance""","Drake featuring Wizkid and Kyla",2016
"May 28","""Can't Stop the Feeling!""","Justin Timberlake",2016
"June 4","""One Dance""","Drake featuring Wizkid and Kyla",2016
"June 11","""One Dance""","Drake featuring Wizkid and Kyla",2016
"June 18","""One Dance""","Drake featuring Wizkid and Kyla",2016
"June 25","""One Dance""","Drake featuring Wizkid and Kyla",2016
"July 2","""One Dance""","Drake featuring Wizkid and Kyla",2016
"July 9","""One Dance""","Drake featuring Wizkid and Kyla",2016
"July 16","""One Dance""","Drake featuring Wizkid and Kyla",2016
"July 23","""One Dance""","Drake featuring Wizkid and Kyla",2016
"July 30","""One Dance""","Drake featuring Wizkid and Kyla",2016
"August 6","""Cheap Thrills""","Sia featuring Sean Paul",2016
"August 13","""Cheap Thrills""","Sia featuring Sean Paul",2016
"August 20","""Cheap Thrills""","Sia featuring Sean Paul",2016
"August 27","""Cheap Thrills""","Sia featuring Sean Paul",2016
"September 3","""Closer""","The Chainsmokers featuring Halsey",2016
"September 10","""Closer""","The Chainsmokers featuring Halsey",2016
"September 17","""Closer""","The Chainsmokers featuring Halsey",2016
"September 24","""Closer""","The Chainsmokers featuring Halsey",2016
"October 1","""Closer""","The Chainsmokers featuring Halsey",2016
"October 8","""Closer""","The Chainsmokers featuring Halsey",2016
"October 15","""Closer""","The Chainsmokers featuring Halsey",2016
"October 22","""Closer""","The Chainsmokers featuring Halsey",2016
"October 29","""Closer""","The Chainsmokers featuring Halsey",2016
"November 5","""Closer""","The Chainsmokers featuring Halsey",2016
"November 12","""Closer""","The Chainsmokers featuring Halsey",2016
"November 19","""Closer""","The Chainsmokers featuring Halsey",2016
"November 26","""Black Beatles""","Rae Sremmurd featuring Gucci Mane",2016
"December 3","""Black Beatles""","Rae Sremmurd featuring Gucci Mane",2016
"December 10","""Black Beatles""","Rae Sremmurd featuring Gucci Mane",2016
"December 17","""Black Beatles""","Rae Sremmurd featuring Gucci Mane",2016
"December 24","""Black Beatles""","Rae Sremmurd featuring Gucci Mane",2016
"December 31","""Black Beatles""","Rae Sremmurd featuring Gucci Mane",2016
"January 7","""Starboy""","The Weeknd featuring Daft Punk",2017
"January 14","""Black Beatles""","Rae Sremmurd featuring Gucci Mane",2017
"January 21","""Bad and Boujee""","Migos featuring Lil Uzi Vert",2017
"January 28","""Shape of You""","Ed Sheeran",2017
"February 4","""Bad and Boujee""","Migos featuring Lil Uzi Vert",2017
"February 11","""Bad and Boujee""","Migos featuring Lil Uzi Vert",2017
"February 18","""Shape of You""","Ed Sheeran",2017
"February 25","""Shape of You""","Ed Sheeran",2017
"March 4","""Shape of You""","Ed Sheeran",2017
"March 11","""Shape of You""","Ed Sheeran",2017
"March 18","""Shape of You""","Ed Sheeran",2017
"March 25","""Shape of You""","Ed Sheeran",2017
"April 1","""Shape of You""","Ed Sheeran",2017
"April 8","""Shape of You""","Ed Sheeran",2017
"April 15","""Shape of You""","Ed Sheeran",2017
"April 22","""Shape of You""","Ed Sheeran",2017
"April 29","""Shape of You""","Ed Sheeran",2017
"May 6","""Humble""","Kendrick Lamar",2017
"May 13","""That's What I Like""","Bruno Mars",2017
"May 20","""I'm the One""","DJ Khaled featuring Justin Bieber, Quavo, Chance the Rapper and Lil Wayne",2017
"May 27","""Despacito""","Luis Fonsi and Daddy Yankee featuring Justin Bieber",2017
"June 3","""Despacito""","Luis Fonsi and Daddy Yankee featuring Justin Bieber",2017
"June 10","""Despacito""","Luis Fonsi and Daddy Yankee featuring Justin Bieber",2017
"June 17","""Despacito""","Luis Fonsi and Daddy Yankee featuring Justin Bieber",2017
"June 24","""Despacito""","Luis Fonsi and Daddy Yankee featuring Justin Bieber",2017
"July 1","""Despacito""","Luis Fonsi and Daddy Yankee featuring Justin Bieber",2017
"July 8","""Despacito""","Luis Fonsi and Daddy Yankee featuring Justin Bieber",2017
"July 15","""Despacito""","Luis Fonsi and Daddy Yankee featuring Justin Bieber",2017
"July 22","""Despacito""","Luis Fonsi and Daddy Yankee featuring Justin Bieber",2017
"July 29","""Despacito""","Luis Fonsi and Daddy Yankee featuring Justin Bieber",2017
"August 5","""Despacito""","Luis Fonsi and Daddy Yankee featuring Justin Bieber",2017
"August 12","""Despacito""","Luis Fonsi and Daddy Yankee featuring Justin Bieber",2017
"August 19","""Despacito""","Luis Fonsi and Daddy Yankee featuring Justin Bieber",2017
"August 26","""Despacito""","Luis Fonsi and Daddy Yankee featuring Justin Bieber",2017
"September 2","""Despacito""","Luis Fonsi and Daddy Yankee featuring Justin Bieber",2017
"September 9","""Despacito""","Luis Fonsi and Daddy Yankee featuring Justin Bieber",2017
"September 16","""Look What You Made Me Do""","Taylor Swift",2017
"September 23","""Look What You Made Me Do""","Taylor Swift",2017
"September 30","""Look What You Made Me Do""","Taylor Swift",2017
"October 7","""Bodak Yellow""","Cardi B",2017
"October 14","""Bodak Yellow""","Cardi B",2017
"October 21","""Bodak Yellow""","Cardi B",2017
"October 28","""Rockstar""","Post Malone featuring 21 Savage",2017
"November 4","""Rockstar""","Post Malone featuring 21 Savage",2017
"November 11","""Rockstar""","Post Malone featuring 21 Savage",2017
"November 18","""Rockstar""","Post Malone featuring 21 Savage",2017
"November 25","""Rockstar""","Post Malone featuring 21 Savage",2017
"December 2","""Rockstar""","Post Malone featuring 21 Savage",2017
"December 9","""Rockstar""","Post Malone featuring 21 Savage",2017
"December 16","""Rockstar""","Post Malone featuring 21 Savage",2017
"December 23","""Perfect""","Ed Sheeran duet with Beyoncé",2017
"December 30","""Perfect""","Ed Sheeran duet with Beyoncé",2017
"January 3","""Perfect""","Ed Sheeran duet with Beyoncé",2018
"January 6","""Perfect""","Ed Sheeran duet with Beyoncé",2018
"January 13","""Perfect""","Ed Sheeran duet with Beyoncé",2018
"January 20","""Perfect""","Ed Sheeran[a]",2018
"January 27","""Havana""","Camila Cabello featuring Young Thug",2018
"February 3","""God's Plan""","Drake",2018
"February 10","""God's Plan""","Drake",2018
"February 17","""God's Plan""","Drake",2018
"February 24","""God's Plan""","Drake",2018
"March 3","""God's Plan""","Drake",2018
"March 10","""God's Plan""","Drake",2018
"March 17","""God's Plan""","Drake",2018
"March 24","""God's Plan""","Drake",2018
"March 31","""God's Plan""","Drake",2018
"April 7","""God's Plan""","Drake",2018
"April 14","""God's Plan""","Drake",2018
"April 21","""Nice for What""","Drake",2018
"April 28","""Nice for What""","Drake",2018
"May 5","""Nice for What""","Drake",2018
"May 12","""Nice for What""","Drake",2018
"May 19","""This Is America""","Childish Gambino",2018
"May 26","""This Is America""","Childish Gambino",2018
"June 2","""Nice for What""","Drake",2018
"June 9","""Nice for What""","Drake",2018
"June 16","""Psycho""","Post Malone featuring Ty Dolla Sign",2018
"June 23","""Nice for What""","Drake",2018
"June 30","""Sad!""","XXXTentacion",2018
"July 7","""I Like It""","Cardi B, Bad Bunny and J Balvin",2018
"July 14","""Nice for What""","Drake",2018
"July 21","""In My Feelings""","Drake",2018
"July 28","""In My Feelings""","Drake",2018
"August 4","""In My Feelings""","Drake",2018
